PipelineResultId,PipelineName,ResultType,EntityId,EntityType,Score,Label,DetailsJson,GeneratedAt
182,VisitationOutcome,Prediction,57.0,HomeVisitation,0.0066,Unfavorable,,2026-04-07 22:46:51.093000
183,VisitationOutcome,Prediction,58.0,HomeVisitation,0.0031,Unfavorable,,2026-04-07 22:46:51.161000
184,VisitationOutcome,Prediction,59.0,HomeVisitation,0.5374,Favorable,,2026-04-07 22:46:51.225000
185,VisitationOutcome,Prediction,60.0,HomeVisitation,0.0065,Unfavorable,,2026-04-07 22:46:51.289000
186,VisitationOutcome,Prediction,61.0,HomeVisitation,0.0124,Unfavorable,,2026-04-07 22:46:51.351000
187,VisitationOutcome,Prediction,62.0,HomeVisitation,0.0041,Unfavorable,,2026-04-07 22:46:51.413000
188,VisitationOutcome,Prediction,63.0,HomeVisitation,0.007,Unfavorable,,2026-04-07 22:46:51.480000
189,VisitationOutcome,Prediction,64.0,HomeVisitation,0.7799,Favorable,,2026-04-07 22:46:51.541000
190,VisitationOutcome,Prediction,65.0,HomeVisitation,0.8248,Favorable,,2026-04-07 22:46:51.607000
191,VisitationOutcome,Prediction,66.0,HomeVisitation,0.0049,Unfavorable,,2026-04-07 22:46:51.683000
192,VisitationOutcome,Prediction,67.0,HomeVisitation,0.0045,Unfavorable,,2026-04-07 22:46:51.745000
193,VisitationOutcome,Prediction,68.0,HomeVisitation,0.7483,Favorable,,2026-04-07 22:46:51.815000
194,VisitationOutcome,Prediction,69.0,HomeVisitation,0.5735,Favorable,,2026-04-07 22:46:51.881000
195,VisitationOutcome,Prediction,70.0,HomeVisitation,0.7971,Favorable,,2026-04-07 22:46:51.953000
196,VisitationOutcome,Prediction,71.0,HomeVisitation,0.6909,Favorable,,2026-04-07 22:46:52.019000
197,VisitationOutcome,Prediction,72.0,HomeVisitation,0.0084,Unfavorable,,2026-04-07 22:46:52.082000
198,VisitationOutcome,Prediction,73.0,HomeVisitation,0.009,Unfavorable,,2026-04-07 22:46:52.146000
199,VisitationOutcome,Prediction,74.0,HomeVisitation,0.7756,Favorable,,2026-04-07 22:46:52.210000
200,VisitationOutcome,Prediction,75.0,HomeVisitation,0.004,Unfavorable,,2026-04-07 22:46:52.273000
201,VisitationOutcome,Prediction,76.0,HomeVisitation,0.0076,Unfavorable,,2026-04-07 22:46:52.339000
202,VisitationOutcome,Prediction,77.0,HomeVisitation,0.0043,Unfavorable,,2026-04-07 22:46:52.403000
203,VisitationOutcome,Prediction,78.0,HomeVisitation,0.8023,Favorable,,2026-04-07 22:46:52.462000
204,VisitationOutcome,Prediction,79.0,HomeVisitation,0.0092,Unfavorable,,2026-04-07 22:46:52.526000
205,VisitationOutcome,Prediction,80.0,HomeVisitation,0.8266,Favorable,,2026-04-07 22:46:52.590000
206,VisitationOutcome,Prediction,81.0,HomeVisitation,0.005,Unfavorable,,2026-04-07 22:46:52.656000
207,VisitationOutcome,Prediction,82.0,HomeVisitation,0.5253,Favorable,,2026-04-07 22:46:52.721000
208,VisitationOutcome,Prediction,83.0,HomeVisitation,0.3109,Unfavorable,,2026-04-07 22:46:52.782000
209,VisitationOutcome,Prediction,84.0,HomeVisitation,0.0073,Unfavorable,,2026-04-07 22:46:52.851000
210,VisitationOutcome,Prediction,85.0,HomeVisitation,0.8306,Favorable,,2026-04-07 22:46:52.911000
211,VisitationOutcome,Prediction,86.0,HomeVisitation,0.7845,Favorable,,2026-04-07 22:46:52.975000
212,VisitationOutcome,Prediction,87.0,HomeVisitation,0.0066,Unfavorable,,2026-04-07 22:46:53.042000
213,VisitationOutcome,Prediction,88.0,HomeVisitation,0.513,Favorable,,2026-04-07 22:46:53.106000
214,VisitationOutcome,Prediction,89.0,HomeVisitation,0.8335,Favorable,,2026-04-07 22:46:53.173000
215,VisitationOutcome,Prediction,90.0,HomeVisitation,0.005,Unfavorable,,2026-04-07 22:46:53.237000
216,VisitationOutcome,Prediction,91.0,HomeVisitation,0.8314,Favorable,,2026-04-07 22:46:53.302000
217,VisitationOutcome,Prediction,92.0,HomeVisitation,0.0037,Unfavorable,,2026-04-07 22:46:53.368000
218,VisitationOutcome,Prediction,93.0,HomeVisitation,0.0046,Unfavorable,,2026-04-07 22:46:53.435000
219,VisitationOutcome,Prediction,94.0,HomeVisitation,0.3569,Unfavorable,,2026-04-07 22:46:53.499000
220,VisitationOutcome,Prediction,95.0,HomeVisitation,0.891,Favorable,,2026-04-07 22:46:53.566000
221,VisitationOutcome,Prediction,96.0,HomeVisitation,0.3889,Unfavorable,,2026-04-07 22:46:53.635000
222,VisitationOutcome,Prediction,97.0,HomeVisitation,0.0023,Unfavorable,,2026-04-07 22:46:53.698000
223,VisitationOutcome,Prediction,98.0,HomeVisitation,0.7501,Favorable,,2026-04-07 22:46:53.762000
224,VisitationOutcome,Prediction,99.0,HomeVisitation,0.6088,Favorable,,2026-04-07 22:46:53.825000
225,VisitationOutcome,Prediction,100.0,HomeVisitation,0.0067,Unfavorable,,2026-04-07 22:46:53.894000
226,VisitationOutcome,Prediction,101.0,HomeVisitation,0.7646,Favorable,,2026-04-07 22:46:53.959000
227,VisitationOutcome,Prediction,102.0,HomeVisitation,0.0035,Unfavorable,,2026-04-07 22:46:54.021000
228,VisitationOutcome,Prediction,103.0,HomeVisitation,0.4493,Unfavorable,,2026-04-07 22:46:54.086000
229,VisitationOutcome,Prediction,104.0,HomeVisitation,0.0061,Unfavorable,,2026-04-07 22:46:54.153000
230,VisitationOutcome,Prediction,105.0,HomeVisitation,0.0035,Unfavorable,,2026-04-07 22:46:54.218000
231,VisitationOutcome,Prediction,106.0,HomeVisitation,0.8503,Favorable,,2026-04-07 22:46:54.282000
232,VisitationOutcome,Prediction,107.0,HomeVisitation,0.4735,Unfavorable,,2026-04-07 22:46:54.350000
233,VisitationOutcome,Prediction,108.0,HomeVisitation,0.5261,Favorable,,2026-04-07 22:46:54.413000
234,VisitationOutcome,Prediction,109.0,HomeVisitation,0.6517,Favorable,,2026-04-07 22:46:54.475000
235,VisitationOutcome,Prediction,110.0,HomeVisitation,0.005,Unfavorable,,2026-04-07 22:46:54.539000
236,VisitationOutcome,Prediction,111.0,HomeVisitation,0.9082,Favorable,,2026-04-07 22:46:54.602000
237,VisitationOutcome,Prediction,112.0,HomeVisitation,0.0044,Unfavorable,,2026-04-07 22:46:54.666000
238,VisitationOutcome,Prediction,113.0,HomeVisitation,0.0039,Unfavorable,,2026-04-07 22:46:54.726000
239,VisitationOutcome,Prediction,114.0,HomeVisitation,0.7014,Favorable,,2026-04-07 22:46:54.789000
240,VisitationOutcome,Prediction,115.0,HomeVisitation,0.0062,Unfavorable,,2026-04-07 22:46:54.854000
241,VisitationOutcome,Prediction,116.0,HomeVisitation,0.6378,Favorable,,2026-04-07 22:46:54.917000
242,VisitationOutcome,Prediction,117.0,HomeVisitation,0.715,Favorable,,2026-04-07 22:46:54.985000
243,VisitationOutcome,Prediction,118.0,HomeVisitation,0.347,Unfavorable,,2026-04-07 22:46:55.048000
244,VisitationOutcome,Prediction,119.0,HomeVisitation,0.5658,Favorable,,2026-04-07 22:46:55.113000
245,VisitationOutcome,Prediction,120.0,HomeVisitation,0.0051,Unfavorable,,2026-04-07 22:46:55.177000
246,VisitationOutcome,Prediction,121.0,HomeVisitation,0.7957,Favorable,,2026-04-07 22:46:55.243000
247,VisitationOutcome,Prediction,122.0,HomeVisitation,0.0097,Unfavorable,,2026-04-07 22:46:55.309000
248,VisitationOutcome,Prediction,123.0,HomeVisitation,0.7011,Favorable,,2026-04-07 22:46:55.374000
249,VisitationOutcome,Prediction,124.0,HomeVisitation,0.0064,Unfavorable,,2026-04-07 22:46:55.441000
250,VisitationOutcome,Prediction,125.0,HomeVisitation,0.0082,Unfavorable,,2026-04-07 22:46:55.506000
251,VisitationOutcome,Prediction,126.0,HomeVisitation,0.0087,Unfavorable,,2026-04-07 22:46:55.569000
252,VisitationOutcome,Prediction,127.0,HomeVisitation,0.7429,Favorable,,2026-04-07 22:46:55.633000
253,VisitationOutcome,Prediction,128.0,HomeVisitation,0.005,Unfavorable,,2026-04-07 22:46:55.700000
254,VisitationOutcome,Prediction,129.0,HomeVisitation,0.8535,Favorable,,2026-04-07 22:46:55.762000
255,VisitationOutcome,Prediction,130.0,HomeVisitation,0.339,Unfavorable,,2026-04-07 22:46:55.826000
256,VisitationOutcome,Prediction,131.0,HomeVisitation,0.8186,Favorable,,2026-04-07 22:46:55.891000
257,VisitationOutcome,Prediction,132.0,HomeVisitation,0.7541,Favorable,,2026-04-07 22:46:55.957000
258,VisitationOutcome,Prediction,133.0,HomeVisitation,0.8999,Favorable,,2026-04-07 22:46:56.022000
259,VisitationOutcome,Prediction,134.0,HomeVisitation,0.8317,Favorable,,2026-04-07 22:46:56.093000
260,VisitationOutcome,Prediction,135.0,HomeVisitation,0.8406,Favorable,,2026-04-07 22:46:56.154000
261,VisitationOutcome,Prediction,136.0,HomeVisitation,0.8848,Favorable,,2026-04-07 22:46:56.217000
262,VisitationOutcome,Prediction,137.0,HomeVisitation,0.004,Unfavorable,,2026-04-07 22:46:56.282000
263,VisitationOutcome,Prediction,138.0,HomeVisitation,0.0063,Unfavorable,,2026-04-07 22:46:56.347000
264,VisitationOutcome,Prediction,139.0,HomeVisitation,0.0053,Unfavorable,,2026-04-07 22:46:56.410000
265,VisitationOutcome,Prediction,140.0,HomeVisitation,0.8273,Favorable,,2026-04-07 22:46:56.469000
266,VisitationOutcome,Prediction,141.0,HomeVisitation,0.8756,Favorable,,2026-04-07 22:46:56.532000
267,VisitationOutcome,Prediction,142.0,HomeVisitation,0.6824,Favorable,,2026-04-07 22:46:56.589000
268,VisitationOutcome,Prediction,143.0,HomeVisitation,0.0076,Unfavorable,,2026-04-07 22:46:56.649000
269,VisitationOutcome,Prediction,144.0,HomeVisitation,0.7016,Favorable,,2026-04-07 22:46:56.710000
270,VisitationOutcome,Prediction,145.0,HomeVisitation,0.0058,Unfavorable,,2026-04-07 22:46:56.774000
271,VisitationOutcome,Prediction,146.0,HomeVisitation,0.6589,Favorable,,2026-04-07 22:46:56.838000
272,VisitationOutcome,Prediction,147.0,HomeVisitation,0.7151,Favorable,,2026-04-07 22:46:56.897000
273,VisitationOutcome,Prediction,148.0,HomeVisitation,0.0041,Unfavorable,,2026-04-07 22:46:56.966000
274,VisitationOutcome,Prediction,149.0,HomeVisitation,0.0042,Unfavorable,,2026-04-07 22:46:57.025000
275,VisitationOutcome,Prediction,150.0,HomeVisitation,0.0044,Unfavorable,,2026-04-07 22:46:57.085000
276,VisitationOutcome,Prediction,151.0,HomeVisitation,0.0074,Unfavorable,,2026-04-07 22:46:57.150000
277,VisitationOutcome,Prediction,152.0,HomeVisitation,0.0054,Unfavorable,,2026-04-07 22:46:57.214000
278,VisitationOutcome,Prediction,153.0,HomeVisitation,0.8638,Favorable,,2026-04-07 22:46:57.278000
279,VisitationOutcome,Prediction,154.0,HomeVisitation,0.0054,Unfavorable,,2026-04-07 22:46:57.344000
280,VisitationOutcome,Prediction,155.0,HomeVisitation,0.4414,Unfavorable,,2026-04-07 22:46:57.400000
281,VisitationOutcome,Prediction,156.0,HomeVisitation,0.0063,Unfavorable,,2026-04-07 22:46:57.466000
282,VisitationOutcome,Prediction,157.0,HomeVisitation,0.8493,Favorable,,2026-04-07 22:46:57.526000
283,VisitationOutcome,Prediction,158.0,HomeVisitation,0.9428,Favorable,,2026-04-07 22:46:57.591000
284,VisitationOutcome,Prediction,159.0,HomeVisitation,0.7339,Favorable,,2026-04-07 22:46:57.654000
285,VisitationOutcome,Prediction,160.0,HomeVisitation,0.0041,Unfavorable,,2026-04-07 22:46:57.714000
286,VisitationOutcome,Prediction,161.0,HomeVisitation,0.0052,Unfavorable,,2026-04-07 22:46:57.781000
287,VisitationOutcome,Prediction,162.0,HomeVisitation,0.8506,Favorable,,2026-04-07 22:46:57.856000
288,VisitationOutcome,Prediction,163.0,HomeVisitation,0.6853,Favorable,,2026-04-07 22:46:57.922000
289,VisitationOutcome,Prediction,164.0,HomeVisitation,0.7353,Favorable,,2026-04-07 22:46:57.989000
290,VisitationOutcome,Prediction,165.0,HomeVisitation,0.0074,Unfavorable,,2026-04-07 22:46:58.060000
291,VisitationOutcome,Prediction,166.0,HomeVisitation,0.0057,Unfavorable,,2026-04-07 22:46:58.118000
292,VisitationOutcome,Prediction,167.0,HomeVisitation,0.8267,Favorable,,2026-04-07 22:46:58.182000
293,VisitationOutcome,Prediction,168.0,HomeVisitation,0.0054,Unfavorable,,2026-04-07 22:46:58.248000
294,VisitationOutcome,Prediction,169.0,HomeVisitation,0.0036,Unfavorable,,2026-04-07 22:46:58.310000
295,VisitationOutcome,Prediction,170.0,HomeVisitation,0.2672,Unfavorable,,2026-04-07 22:46:58.374000
296,VisitationOutcome,Prediction,171.0,HomeVisitation,0.4118,Unfavorable,,2026-04-07 22:46:58.434000
297,VisitationOutcome,Prediction,172.0,HomeVisitation,0.0103,Unfavorable,,2026-04-07 22:46:58.497000
298,VisitationOutcome,Prediction,173.0,HomeVisitation,0.0058,Unfavorable,,2026-04-07 22:46:58.560000
299,VisitationOutcome,Prediction,174.0,HomeVisitation,0.0018,Unfavorable,,2026-04-07 22:46:58.623000
300,VisitationOutcome,Prediction,175.0,HomeVisitation,0.0088,Unfavorable,,2026-04-07 22:46:58.691000
301,VisitationOutcome,Prediction,176.0,HomeVisitation,0.0035,Unfavorable,,2026-04-07 22:46:58.770000
302,VisitationOutcome,Prediction,177.0,HomeVisitation,0.0019,Unfavorable,,2026-04-07 22:46:58.838000
303,VisitationOutcome,Prediction,178.0,HomeVisitation,0.1854,Unfavorable,,2026-04-07 22:46:58.910000
